age,workclass,fnlwgt,education,education-num,marital-status,occupation,relationship,race,sex,capital-gain,capital-loss,hours-per-week,native-country,label
35,Private,185556,Masters,14,Married-civ-spouse,Prof-specialty,Husband,White,Male,0,1887,40,United-States,>50K
21,?,171156,Some-college,10,Never-married,?,Not-in-family,White,Female,0,0,35,United-States,<=50K
23,Private,330571,Bachelors,13,Never-married,Prof-specialty,Not-in-family,White,Female,0,0,16,United-States,<=50K
43,Private,150528,Masters,14,Married-civ-spouse,Prof-specialty,Husband,White,Male,0,0,40,United-States,>50K
31,Private,34572,Bachelors,13,Married-civ-spouse,Sales,Husband,White,Male,0,0,55,United-States,<=50K
40,State-gov,270324,Assoc-voc,11,Married-civ-spouse,Other-service,Husband,Black,Male,0,0,30,United-States,<=50K
28,?,30237,Some-college,10,Never-married,?,Unmarried,White,Female,0,0,40,United-States,<=50K
42,Private,254773,Bachelors,13,Married-civ-spouse,Exec-managerial,Wife,Black,Female,0,0,50,United-States,>50K
53,Private,47396,Some-college,10,Married-civ-spouse,Adm-clerical,Husband,White,Male,0,0,50,United-States,>50K
45,Private,362883,Some-college,10,Married-civ-spouse,Transport-moving,Husband,White,Male,0,0,40,United-States,<=50K
47,Private,198901,HS-grad,9,Married-civ-spouse,Craft-repair,Husband,White,Male,0,0,48,United-States,<=50K
56,Private,164332,HS-grad,9,Married-civ-spouse,Sales,Wife,White,Female,0,0,15,United-States,<=50K
66,?,170617,Masters,14,Widowed,?,Not-in-family,White,Male,0,0,6,United-States,<=50K
51,Local-gov,146181,9th,5,Married-civ-spouse,Transport-moving,Husband,Black,Male,0,0,40,United-States,<=50K
43,Private,112181,Assoc-voc,11,Married-civ-spouse,Tech-support,Wife,White,Female,0,1902,32,United-States,>50K
25,Private,178326,Some-college,10,Never-married,Sales,Not-in-family,White,Female,0,0,40,United-States,<=50K
36,State-gov,196348,HS-grad,9,Married-civ-spouse,Exec-managerial,Husband,White,Male,0,0,60,United-States,>50K
31,Private,185528,Some-college,10,Divorced,Sales,Own-child,White,Female,0,0,35,United-States,<=50K
44,Self-emp-not-inc,343190,Some-college,10,Married-civ-spouse,Craft-repair,Husband,White,Male,0,1887,55,United-States,>50K
24,Private,148709,HS-grad,9,Never-married,Other-service,Not-in-family,White,Female,0,0,40,United-States,<=50K
39,State-gov,121838,HS-grad,9,Divorced,Other-service,Unmarried,Black,Female,0,0,40,United-States,<=50K
30,Private,161599,HS-grad,9,Married-civ-spouse,Handlers-cleaners,Husband,White,Male,0,0,40,United-States,>50K
20,Private,138107,HS-grad,9,Never-married,Handlers-cleaners,Own-child,Black,Male,0,0,35,United-States,<=50K
24,Self-emp-inc,234663,Bachelors,13,Never-married,Exec-managerial,Own-child,White,Male,0,0,40,United-States,<=50K
23,Private,312017,Some-college,10,Never-married,Exec-managerial,Not-in-family,White,Male,0,0,40,United-States,<=50K
29,Private,202878,HS-grad,9,Never-married,Craft-repair,Not-in-family,White,Male,0,0,50,United-States,<=50K
49,Private,97883,Bachelors,13,Divorced,Exec-managerial,Unmarried,White,Female,0,0,40,United-States,<=50K
55,Private,196126,Bachelors,13,Separated,Craft-repair,Not-in-family,White,Male,0,0,40,?,<=50K
31,Private,241885,HS-grad,9,Never-married,Farming-fishing,Unmarried,White,Male,0,0,45,United-States,<=50K
46,Private,54190,HS-grad,9,Married-civ-spouse,Craft-repair,Husband,White,Male,0,0,60,United-States,<=50K
29,Private,144259,Bachelors,13,Married-civ-spouse,Handlers-cleaners,Husband,Black,Male,4386,0,80,?,>50K
59,Self-emp-inc,133201,5th-6th,3,Married-civ-spouse,Farming-fishing,Husband,White,Male,0,0,40,Italy,<=50K
61,Private,181219,Bachelors,13,Married-civ-spouse,Prof-specialty,Husband,White,Male,0,1848,40,United-States,>50K
43,Private,185057,HS-grad,9,Divorced,Exec-managerial,Not-in-family,White,Female,0,0,30,United-States,>50K
19,?,169324,Some-college,10,Never-married,?,Own-child,White,Male,0,0,10,United-States,<=50K
55,Self-emp-not-inc,147098,9th,5,Married-civ-spouse,Craft-repair,Husband,White,Male,0,0,50,United-States,<=50K
58,Private,216851,9th,5,Never-married,Handlers-cleaners,Own-child,White,Male,0,0,40,El-Salvador,<=50K
37,Private,126569,Masters,14,Married-civ-spouse,Tech-support,Husband,White,Male,0,0,60,United-States,>50K
48,Self-emp-not-inc,373606,Some-college,10,Divorced,Sales,Unmarried,White,Male,0,0,65,United-States,>50K
28,Private,96020,Bachelors,13,Never-married,Exec-managerial,Not-in-family,White,Female,0,0,40,United-States,<=50K
23,Private,103064,HS-grad,9,Never-married,Adm-clerical,Own-child,White,Female,0,0,40,United-States,<=50K
45,Private,174533,Some-college,10,Married-civ-spouse,Transport-moving,Husband,White,Male,7298,0,50,United-States,>50K
49,Private,48120,HS-grad,9,Never-married,Transport-moving,Unmarried,Black,Female,1506,0,40,United-States,<=50K
61,Private,92691,HS-grad,9,Married-civ-spouse,Adm-clerical,Husband,White,Male,0,0,3,United-States,<=50K
30,Private,101345,Bachelors,13,Married-civ-spouse,Sales,Wife,White,Female,3103,0,55,United-States,>50K
18,Private,174732,HS-grad,9,Never-married,Other-service,Other-relative,Black,Male,0,0,36,United-States,<=50K
25,Federal-gov,406955,HS-grad,9,Never-married,Adm-clerical,Other-relative,White,Female,0,0,40,United-States,<=50K
60,Private,166330,HS-grad,9,Married-civ-spouse,Adm-clerical,Wife,White,Female,0,0,40,United-States,<=50K
39,Local-gov,163278,Some-college,10,Never-married,Adm-clerical,Not-in-family,White,Female,2202,0,44,United-States,<=50K
49,Self-emp-inc,191277,Some-college,10,Married-civ-spouse,Exec-managerial,Husband,White,Male,15024,0,50,United-States,>50K
46,Federal-gov,43206,Doctorate,16,Never-married,Prof-specialty,Not-in-family,White,Female,0,1564,50,United-States,>50K
23,Private,209770,HS-grad,9,Never-married,Adm-clerical,Own-child,White,Female,0,0,40,United-States,<=50K
47,Private,89146,HS-grad,9,Married-civ-spouse,Transport-moving,Husband,Amer-Indian-Eskimo,Male,0,0,40,United-States,>50K
50,Private,88842,Bachelors,13,Married-civ-spouse,Transport-moving,Husband,White,Male,7298,0,40,United-States,>50K
21,Private,250051,Some-college,10,Never-married,Prof-specialty,Own-child,White,Female,0,0,10,United-States,<=50K
64,Self-emp-not-inc,388625,10th,6,Married-civ-spouse,Prof-specialty,Husband,White,Male,0,0,10,United-States,>50K
33,Private,280923,7th-8th,4,Married-civ-spouse,Handlers-cleaners,Husband,White,Male,0,0,40,Mexico,<=50K
20,?,250037,Some-college,10,Never-married,?,Own-child,White,Female,0,0,18,?,<=50K
68,?,196782,7th-8th,4,Married-civ-spouse,?,Husband,White,Male,0,0,30,United-States,<=50K
44,Private,245317,Some-college,10,Married-civ-spouse,Craft-repair,Husband,White,Male,0,0,56,United-States,>50K
44,Private,160574,HS-grad,9,Married-civ-spouse,Craft-repair,Husband,White,Male,0,0,65,United-States,>50K
47,Private,341995,Some-college,10,Divorced,Sales,Own-child,White,Male,0,0,55,United-States,<=50K
56,Private,159724,Some-college,10,Married-civ-spouse,Transport-moving,Husband,White,Male,0,0,40,United-States,>50K
18,Private,53109,11th,7,Never-married,Other-service,Own-child,Amer-Indian-Eskimo,Male,0,0,20,United-States,<=50K
29,Private,309463,9th,5,Married-civ-spouse,Craft-repair,Husband,White,Male,0,0,40,United-States,<=50K
48,Private,401333,HS-grad,9,Divorced,Sales,Not-in-family,White,Male,0,0,40,United-States,<=50K
44,Local-gov,212665,Some-college,10,Married-civ-spouse,Protective-serv,Husband,Black,Male,0,0,99,United-States,<=50K
21,?,107801,Some-college,10,Never-married,?,Own-child,White,Female,0,0,3,United-States,<=50K
53,Self-emp-not-inc,311020,10th,6,Married-civ-spouse,Farming-fishing,Husband,White,Male,0,0,60,United-States,<=50K
30,Private,186932,Doctorate,16,Married-civ-spouse,Prof-specialty,Husband,White,Male,5178,0,75,United-States,>50K
