age,workclass,fnlwgt,education,education-num,marital-status,occupation,relationship,race,sex,capital-gain,capital-loss,hours-per-week,native-country,label
60,?,189708,Bachelors,8,Divorced,Exec-managerial,Husband,White,Male,26970,0,62,United-States,<=50K
22,Local-gov,372750,Some-college,11,Married-civ-spouse,Exec-managerial,Husband,White,Male,22670,0,43,United-States,>50K
36,Private,41188,Some-college,10,Never-married,Craft-repair,Own-child,White,Male,81954,0,22,United-States,<=50K
48,Private,175321,Masters,11,Never-married,Other-service,Own-child,White,Female,68135,1,48,United-States,<=50K
49,Private,63238,Assoc-acdm,10,Married-spouse-absent,Craft-repair,Unmarried,White,Female,188,61,40,United-States,<=50K
32,Private,41910,Masters,12,Married-civ-spouse,Machine-op-inspct,Husband,White,Male,90012,155,62,United-States,>50K
36,State-gov,65477,Bachelors,8,Married-civ-spouse,Transport-moving,Not-in-family,White,Female,18177,0,32,United-States,<=50K
21,State-gov,33459,11th,12,Never-married,Transport-moving,Own-child,White,Male,9,21,31,Mexico,<=50K
62,Self-emp-inc,64171,1st-4th,11,Married-civ-spouse,Adm-clerical,Wife,Black,Male,798,115,17,United-States,>50K
24,Private,182763,Some-college,11,Married-civ-spouse,Other-service,Not-in-family,White,Female,30496,49,14,United-States,<=50K
42,Local-gov,224021,Prof-school,12,Married-civ-spouse,Other-service,Not-in-family,White,Male,352,0,52,United-States,<=50K
29,Private,280111,HS-grad,11,Never-married,Sales,Wife,Black,Female,606,9,19,United-States,<=50K
76,Private,165688,Bachelors,12,Divorced,Exec-managerial,Unmarried,White,Male,73247,75,39,United-States,>50K
35,Federal-gov,368904,HS-grad,11,Divorced,Exec-managerial,Not-in-family,White,Male,99641,0,67,Mexico,<=50K
23,State-gov,164838,Some-college,8,Never-married,Sales,Husband,White,Female,5977,1,20,United-States,<=50K
40,Private,205536,Assoc-acdm,10,Separated,Handlers-cleaners,Not-in-family,Black,Male,28,0,33,United-States,<=50K
42,?,26516,Bachelors,8,Married-civ-spouse,?,Husband,Black,Male,47140,0,30,United-States,<=50K
19,Private,270412,Some-college,9,Married-civ-spouse,Adm-clerical,Unmarried,White,Male,60,93,31,United-States,<=50K
21,Private,155148,HS-grad,11,Never-married,Exec-managerial,Own-child,White,Male,99108,0,24,United-States,<=50K
42,Private,74323,Some-college,10,Divorced,Craft-repair,Husband,White,Male,22535,5,58,United-States,<=50K
45,State-gov,64959,Bachelors,11,Married-civ-spouse,Prof-specialty,Husband,White,Male,55150,0,27,United-States,<=50K
74,Private,114791,9th,10,Divorced,Craft-repair,Own-child,White,Male,74408,18,29,United-States,<=50K
51,Private,293889,Assoc-voc,11,Married-civ-spouse,?,Not-in-family,White,Male,29982,0,38,United-States,<=50K
32,Private,679336,HS-grad,10,Married-civ-spouse,Craft-repair,Other-relative,White,Female,8213,22,46,United-States,<=50K
26,Private,245266,Some-college,8,Married-civ-spouse,Tech-support,Not-in-family,White,Male,8117,0,38,United-States,<=50K
58,Private,100009,Some-college,5,Divorced,Protective-serv,Husband,White,Male,72571,0,42,United-States,<=50K
29,Private,222029,Some-college,11,Divorced,Craft-repair,Own-child,White,Female,1537,0,52,United-States,>50K
21,Local-gov,313268,HS-grad,10,Married-civ-spouse,Adm-clerical,Own-child,White,Male,249,103,31,United-States,<=50K
